"Year","NUTS2","Unem"
2011,"AT34",4.1
2011,"AT12",4.5
2011,"AT33",2.7
2011,"AT32",2.9
2011,"AT22",3.6
2011,"AT11",3.8
2011,"AT31",3.4
2011,"AT13",8.1
2011,"AT21",4.3
2012,"AT34",4
2012,"AT22",4
2012,"AT31",3.3
2012,"AT32",2.9
2012,"AT11",4.6
2012,"AT33",2.8
2012,"AT21",5
2012,"AT12",4.6
2012,"AT13",8.9
2013,"AT34",3.6
2013,"AT33",3.1
2013,"AT31",4.3
2013,"AT32",3.2
2013,"AT22",4.7
2013,"AT13",9.3
2013,"AT21",5.5
2013,"AT12",5
2013,"AT11",4.3
2014,"AT32",3.5
2014,"AT33",3.2
2014,"AT31",4.1
2014,"AT12",5.1
2014,"AT34",3.4
2014,"AT13",10.2
2014,"AT21",6
2014,"AT22",5
2014,"AT11",4.8
2015,"AT31",4.1
2015,"AT32",3.5
2015,"AT21",6.1
2015,"AT34",3.5
2015,"AT22",4.7
2015,"AT13",10.6
2015,"AT12",5.2
2015,"AT33",3
2015,"AT11",5.2
2016,"AT22",5.1
2016,"AT33",3.5
2016,"AT21",5.4
2016,"AT12",5.2
2016,"AT31",4.5
2016,"AT11",5.7
2016,"AT13",11.3
2016,"AT32",3.4
2016,"AT34",3.4
2011,"BE35",8
2011,"BE31",6.7
2011,"BE33",9.5
2011,"BE10",17
2011,"BE34",6.2
2011,"BE22",4.6
2011,"BE21",5.7
2011,"BE32",11.7
2011,"BE25",3.2
2011,"BE24",3.5
2011,"BE23",3.8
2012,"BE35",7.3
2012,"BE33",10.7
2012,"BE34",7.6
2012,"BE25",3.9
2012,"BE31",7
2012,"BE24",4.4
2012,"BE32",12.1
2012,"BE21",5.3
2012,"BE10",17.4
2012,"BE22",4.7
2012,"BE23",4.1
2013,"BE35",10.4
2013,"BE34",7.9
2013,"BE33",11.7
2013,"BE24",5.5
2013,"BE32",13.3
2013,"BE25",3.9
2013,"BE23",4
2013,"BE31",8.2
2013,"BE22",5.5
2013,"BE21",6.2
2013,"BE10",19.2
2014,"BE32",14.4
2014,"BE33",12.3
2014,"BE35",8.9
2014,"BE34",8.5
2014,"BE23",4.3
2014,"BE31",8.9
2014,"BE24",5
2014,"BE25",4.2
2014,"BE21",6.1
2014,"BE22",5.6
2014,"BE10",18.3
2015,"BE32",13.3
2015,"BE31",7.9
2015,"BE25",4.2
2015,"BE23",4.4
2015,"BE34",9.3
2015,"BE33",12.9
2015,"BE21",6.1
2015,"BE35",10.9
2015,"BE22",6
2015,"BE24",5.1
2015,"BE10",17.3
2016,"BE31",7.9
2016,"BE25",3.7
2016,"BE32",11.8
2016,"BE34",7.8
2016,"BE21",6.1
2016,"BE23",4.2
2016,"BE10",16.8
2016,"BE22",4.8
2016,"BE24",4.8
2016,"BE33",11.1
2016,"BE35",9.7
2011,"CZ05",6.6
2011,"CZ02",5.1
2011,"CZ08",9.3
2011,"CZ07",7.6
2011,"CZ03",5.3
2011,"CZ01",3.6
2011,"CZ06",7.2
2011,"CZ04",9.5
2012,"CZ05",8
2012,"CZ07",7.5
2012,"CZ03",5.3
2012,"CZ01",3.1
2012,"CZ06",7.6
2012,"CZ02",4.6
2012,"CZ08",9.5
2012,"CZ04",10.7
2013,"CZ05",8.3
2013,"CZ07",8
2013,"CZ03",5.2
2013,"CZ01",3.1
2013,"CZ08",9.9
2013,"CZ06",6.8
2013,"CZ02",5.2
2013,"CZ04",9.6
2014,"CZ05",6.4
2014,"CZ01",2.5
2014,"CZ07",6.9
2014,"CZ03",5.5
2014,"CZ08",8.6
2014,"CZ06",6
2014,"CZ02",5.1
2014,"CZ04",8.7
2015,"CZ05",5.2
2015,"CZ03",3.9
2015,"CZ08",8.2
2015,"CZ06",4.9
2015,"CZ02",3.5
2015,"CZ01",2.8
2015,"CZ07",5.3
2015,"CZ04",7.3
2016,"CZ04",5.2
2016,"CZ03",3.1
2016,"CZ01",2.2
2016,"CZ05",4
2016,"CZ07",3.9
2016,"CZ02",3.1
2016,"CZ06",3.7
2016,"CZ08",6.9
2011,"DE80",10.1
2011,"DE11",3.7
2011,"DE93",5.3
2011,"DE92",6.7
2011,"DE12",4.2
2011,"DE91",6.3
2011,"DE27",3.4
2011,"DE13",3
2011,"DE60",5.3
2011,"DE94",4.2
2011,"DE14",3.1
2011,"DE40",8.8
2011,"DE26",3.5
2011,"DE30",11.7
2011,"DE50",7.8
2011,"DE71",4.7
2011,"DEA1",6.8
2011,"DE21",2.8
2011,"DE23",3.4
2011,"DEE0",10.4
2011,"DEG0",7.6
2011,"DE24",4.2
2011,"DE72",5.1
2011,"DEA2",6
2011,"DE22",2.8
2011,"DE73",4.4
2011,"DEF0",5.8
2011,"DED5",11.1
2011,"DE25",4
2011,"DED4",8.8
2011,"DEA3",5.3
2011,"DEA5",7.1
2011,"DEB3",5.2
2011,"DEA4",5.5
2011,"DEB1",4.4
2011,"DED2",8.6
2011,"DEB2",4.1
2011,"DEC0",5.9
2012,"DE50",6.6
2012,"DE60",5.3
2012,"DE72",5
2012,"DE40",8.2
2012,"DE27",3.2
2012,"DE73",4.5
2012,"DE26",3.5
2012,"DE30",10.4
2012,"DE71",4.8
2012,"DEB2",2.7
2012,"DE11",3.4
2012,"DEG0",7.3
2012,"DE80",10.8
2012,"DE12",4
2012,"DEE0",9.5
2012,"DE24",3.3
2012,"DEB3",4.3
2012,"DEF0",5
2012,"DED5",9.5
2012,"DE91",5.6
2012,"DE13",2.9
2012,"DE23",3.2
2012,"DE25",3.7
2012,"DEC0",6.3
2012,"DED4",7.9
2012,"DEB1",4
2012,"DE92",5.4
2012,"DE14",2.7
2012,"DEA4",4.7
2012,"DE93",4.4
2012,"DED2",7.5
2012,"DEA5",6.6
2012,"DE94",4.3
2012,"DE22",3.3
2012,"DE21",2.7
2012,"DEA1",6.5
2012,"DEA3",4.9
2012,"DEA2",5.4
2013,"DE60",4.7
2013,"DE50",7
2013,"DE71",4.3
2013,"DE40",7.3
2013,"DED4",7.4
2013,"DE72",4.5
2013,"DEA5",6.6
2013,"DED5",9.2
2013,"DEA4",5
2013,"DEB1",3.8
2013,"DED2",7.3
2013,"DE23",3.4
2013,"DE73",4.3
2013,"DEE0",9.1
2013,"DEG0",6
2013,"DE80",10.1
2013,"DEB2",3.1
2013,"DE12",3.6
2013,"DE24",3.9
2013,"DEB3",4.4
2013,"DEF0",4.9
2013,"DE25",3.1
2013,"DE91",6.2
2013,"DE11",3.7
2013,"DE13",2.9
2013,"DE92",5.4
2013,"DEC0",6
2013,"DE22",3.2
2013,"DE26",3.3
2013,"DE30",10.4
2013,"DE14",2.9
2013,"DE27",3.3
2013,"DE93",4.4
2013,"DE21",2.5
2013,"DEA3",5.1
2013,"DE94",4
2013,"DEA2",5.8
2013,"DEA1",6.4
2014,"DE50",6.6
2014,"DE40",6.7
2014,"DE60",5
2014,"DED4",6.4
2014,"DED2",7.4
2014,"DE71",4.5
2014,"DE27",3
2014,"DE22",2.9
2014,"DE72",4.5
2014,"DE30",9.8
2014,"DED5",8.3
2014,"DE73",4.4
2014,"DE26",2.9
2014,"DE21",2.5
2014,"DE23",2.7
2014,"DEB2",3
2014,"DEC0",5.8
2014,"DEE0",8.8
2014,"DE80",9.6
2014,"DE14",2.7
2014,"DE12",3.5
2014,"DE24",4
2014,"DEB3",4
2014,"DE13",3
2014,"DEF0",4.6
2014,"DE91",5.5
2014,"DE11",3.1
2014,"DEG0",6
2014,"DE25",3.1
2014,"DE94",4.1
2014,"DEA4",5
2014,"DEB1",4.1
2014,"DE92",5.2
2014,"DEA5",5.7
2014,"DEA3",4.9
2014,"DE93",4
2014,"DEA1",6.4
2014,"DEA2",5.3
2015,"DE23",2.8
2015,"DE25",3
2015,"DE22",2.5
2015,"DE26",3
2015,"DE30",9.5
2015,"DE24",3.9
2015,"DE27",3
2015,"DE40",5.7
2015,"DE21",2.7
2015,"DEB2",2.9
2015,"DE14",3
2015,"DE12",3.3
2015,"DE92",4.7
2015,"DED2",6.2
2015,"DE50",5.6
2015,"DE93",3.5
2015,"DEB3",4.1
2015,"DE11",3.4
2015,"DE13",2.5
2015,"DEC0",5.6
2015,"DED4",5.4
